subcategory,action,category,subcategory_remap,notes
acetyl-l-carnitine amino acids,REMAP,AMINO ACIDS,AMINO ACIDS,Maps to AMINO ACIDS / AMINO ACIDS
acne & blemish treatments,REMOVE,,,Non-supplement category
acupressure & acupuncture supplies,REMOVE,,,Non-supplement category
adhesive bandages,REMOVE,,,Non-supplement category
allergy  sinus & asthma supplies,REMOVE,,,Non-supplement category
allergy medicine,REMOVE,,,Non-supplement category
"allergy, sinus & asthma supplies",REMOVE,,,Non-supplement category
allspice spice,REMOVE,,,Non-supplement category
almonds,REMOVE,,,Non-supplement category
aloe vera herbal supplements,REMAP,HERBAL REMEDIES,NON-SPECIFIC,Maps to HERBAL REMEDIES / NON-SPECIFIC
alternative medicine flower essences,REMAP,FLOWER ESSENCES,FLOWER ESSENCES,Maps to FLOWER ESSENCES / FLOWER ESSENCES
alternative medicine light therapy,REMOVE,,,Non-supplement category
alternative medicine sound therapy,REMOVE,,,Non-supplement category
amino blends & bcaas,REMAP,AMINO ACIDS,AMINO ACIDS,Maps to AMINO ACIDS / AMINO ACIDS
anise seeds spice,REMOVE,,,Non-supplement category
antacids,REMAP,DIGESTIVE AIDS & ENZYMES,DIGESTIVE AIDS & ENZYMES,Maps to DIGESTIVE AIDS & ENZYMES / DIGESTIVE AIDS & ENZYMES
anti-chafing products,REMOVE,,,Non-supplement category
antibiotic ointments,REMOVE,,,Non-supplement category
antifungal treatments,REMOVE,,,Non-supplement category
antioxidants,REMAP,BASIC VITAMINS & MINERALS,MINERALS,Maps to BASIC VITAMINS & MINERALS / MINERALS
antiseptic cleansing cloths  swabs & wipes,REMOVE,,,Non-supplement category
"antiseptic cleansing cloths, swabs & wipes",REMOVE,,,Non-supplement category
antiseptic treatments,REMOVE,,,Non-supplement category
appetite control & suppressants,REMAP,BASIC VITAMINS & MINERALS,LETTER VITAMINS,Maps to BASIC VITAMINS & MINERALS / LETTER VITAMINS
apple cider vinegar supplements,REMAP,HERBAL REMEDIES,FOOD SUPPLEMENTS,Maps to HERBAL REMEDIES / FOOD SUPPLEMENTS
apple cider vinegars,REMOVE,,,Non-supplement category
aromatherapy & essential oils,REMOVE,,,Non-supplement category
aromatherapy products & supplies,REMOVE,,,Non-supplement category
ashwagandha herbal supplements,REMAP,HERBAL REMEDIES,NON-SPECIFIC,Maps to HERBAL REMEDIES / NON-SPECIFIC
asthma medicine,REMOVE,,,Non-supplement category
athletic & medical tape,REMOVE,,,Non-supplement category
athletic tape & supplies,REMOVE,,,Non-supplement category
baby body wash & soaps,REMOVE,,,Non-supplement category
baby colic & gas relief,REMAP,HOMEOPATHICS,NON-SPECIFIC,Maps to HOMEOPATHICS / NON-SPECIFIC
baby grooming & healthcare kits,REMOVE,,,Non-supplement category
baby health products,REMOVE,,,Non-supplement category
baby nail care,REMOVE,,,Non-supplement category
balance trainers,REMOVE,,,Non-supplement category
balsamic vinegars,REMOVE,,,Non-supplement category
bandage pads & gauze,REMOVE,,,Non-supplement category
bandaging pads,REMOVE,,,Non-supplement category
bandaging pads & covers,REMOVE,,,Non-supplement category
bar soaps,REMOVE,,,Non-supplement category
basil leaf spice,REMOVE,,,Non-supplement category
bath bombs,REMOVE,,,Non-supplement category
bath salts,REMOVE,,,Non-supplement category
bay leaf spice,REMOVE,,,Non-supplement category
bcaas,REMAP,AMINO ACIDS,AMINO ACIDS,Maps to AMINO ACIDS / AMINO ACIDS
beet root supplements,REMAP,HERBAL REMEDIES,NON-SPECIFIC,Maps to HERBAL REMEDIES / NON-SPECIFIC
bike trainers & accessories,REMOVE,,,Non-supplement category
bitters cocktail mixers,REMOVE,,,Non-supplement category
blended supplements & vitamins,REMAP,MISCELLANEOUS SUPPLEMENTS,NON-SPECIFIC,Maps to MISCELLANEOUS SUPPLEMENTS / NON-SPECIFIC
bloody mary cocktail mixers,REMOVE,,,Non-supplement category
body butter,REMOVE,,,Non-supplement category
body butters,REMOVE,,,Non-supplement category
body care sets,REMOVE,,,Non-supplement category
body care sets & kits,REMOVE,,,Non-supplement category
body cleansing wipes,REMOVE,,,Non-supplement category
body creams,REMOVE,,,Non-supplement category
body creams & lotions,REMOVE,,,Non-supplement category
body groomers,REMOVE,,,Non-supplement category
body groomers & brushes,REMOVE,,,Non-supplement category
body lotions,REMOVE,,,Non-supplement category
body oils,REMOVE,,,Non-supplement category
body scrubs & body treatments,REMOVE,,,Non-supplement category
body washes,REMOVE,,,Non-supplement category
body washes & shower gels,REMOVE,,,Non-supplement category
books,REMOVE,,,Non-supplement category
bubble baths & soaks,REMOVE,,,Non-supplement category
burn & rash relief,REMOVE,,,Non-supplement category
butter,REMOVE,,,Non-supplement category
calcium ascorbate,REMAP,BASIC VITAMINS & MINERALS,MINERALS,Maps to BASIC VITAMINS & MINERALS / MINERALS
calcium citrate supplements,REMAP,BASIC VITAMINS & MINERALS,MINERALS,Maps to BASIC VITAMINS & MINERALS / MINERALS
calcium magnesium supplements,REMAP,BASIC VITAMINS & MINERALS,MINERALS,Maps to BASIC VITAMINS & MINERALS / MINERALS
calcium supplements,REMAP,BASIC VITAMINS & MINERALS,MINERALS,Maps to BASIC VITAMINS & MINERALS / MINERALS
calcium vitamin d combination supplements,REMAP,BASIC VITAMINS & MINERALS,MINERALS,Maps to BASIC VITAMINS & MINERALS / MINERALS
calcium-vitamin d combination supplements,REMAP,BASIC VITAMINS & MINERALS,MINERALS,Maps to BASIC VITAMINS & MINERALS / MINERALS
canola,REMOVE,,,Non-supplement category
canola oil,REMOVE,,,Non-supplement category
caraway seed spice,REMOVE,,,Non-supplement category
cardamom seed spice,REMOVE,,,Non-supplement category
cardio training,REMOVE,,,Non-supplement category
carnitine amino acids,REMAP,AMINO ACIDS,AMINO ACIDS,Maps to AMINO ACIDS / AMINO ACIDS
cashews,REMOVE,,,Non-supplement category
cat catnip treats,REMOVE,,,Non-supplement category
cat claw care,REMOVE,,,Non-supplement category
cat dental care,REMOVE,,,Non-supplement category
cat digestive remedies,REMOVE,,,Non-supplement category
cat flea & tick collars,REMOVE,,,Non-supplement category
cat flea & tick drops,REMOVE,,,Non-supplement category
cat hairball remedy pastes & gels,REMOVE,,,Non-supplement category
cat health supplements,REMOVE,,,Non-supplement category
cat hip & joint care,REMOVE,,,Non-supplement category
cat relaxants,REMOVE,,,Non-supplement category
cbd & hemp extract products,REMAP,OIL CATEGORY,HEMP/CBD,Maps to OIL CATEGORY / HEMP/CBD
celery seed spice,REMOVE,,,Non-supplement category
cheddar cheese,REMOVE,,,Non-supplement category
cheese & charcuterie trays,REMOVE,,,Non-supplement category
cheese assortments & samplers,REMOVE,,,Non-supplement category
chest rubs,REMAP,HERBAL/HOMEOPATHIC COLD & FLU,NON-SPECIFIC,Maps to HERBAL/HOMEOPATHIC COLD & FLU / NON-SPECIFIC
chest rubs & vapors,REMOVE,,,Non-supplement category
chia seeds,REMOVE,,,Non-supplement category
chili powder spice,REMOVE,,,Non-supplement category
chocolate drink mixes,REMOVE,,,Non-supplement category
choline supplements,REMAP,BASIC VITAMINS & MINERALS,LETTER VITAMINS,Maps to BASIC VITAMINS & MINERALS / LETTER VITAMINS
chondroitin & glucosamine,REMAP,GLUCOSAMINE & CHONDROITIN,GLUCOSAMINE & CHONDROITIN,Maps to GLUCOSAMINE & CHONDROITIN / GLUCOSAMINE & CHONDROITIN
chromium supplements,REMAP,BASIC VITAMINS & MINERALS,MINERALS,Maps to BASIC VITAMINS & MINERALS / MINERALS
cinnamon herbal supplements,REMAP,HERBAL REMEDIES,NON-SPECIFIC,Maps to HERBAL REMEDIES / NON-SPECIFIC
cinnamon spice,REMOVE,,,Non-supplement category
cla supplements,REMAP,WEIGHT MANAGEMENT FORMULAS,WEIGHT MANAGEMENT FORMULAS,Maps to WEIGHT MANAGEMENT FORMULAS / WEIGHT MANAGEMENT FORMULAS
cleansing cloths swabs & wipes,REMOVE,,,Non-supplement category
clothing,REMOVE,,,Non-supplement category
cloves spice,REMOVE,,,Non-supplement category
cocktail mixers & additives,REMOVE,,,Non-supplement category
cocoa,REMOVE,,,Non-supplement category
coconut,REMAP,OIL CATEGORY,COCONUT OIL,Maps to OIL CATEGORY / COCONUT OIL
coconut oil,REMAP,OIL CATEGORY,COCONUT OIL,Maps to OIL CATEGORY / COCONUT OIL
cold & flu relief,REMAP,HERBAL/HOMEOPATHIC COLD & FLU,NON-SPECIFIC,Maps to HERBAL/HOMEOPATHIC COLD & FLU / NON-SPECIFIC
cold & flu treatments,REMAP,OTC,"OTC - COUGH, COLD & FLU","Maps to OTC / OTC - COUGH, COLD & FLU"
cold & hot therapy,REMOVE,,,Non-supplement category
cold packs,REMOVE,,,Non-supplement category
cold sore & fever blister treatments,REMAP,HERBAL/HOMEOPATHIC COLD & FLU,NON-SPECIFIC,Maps to HERBAL/HOMEOPATHIC COLD & FLU / NON-SPECIFIC
collagen supplements,REMAP,BASIC VITAMINS & MINERALS,MINERALS,Maps to BASIC VITAMINS & MINERALS / MINERALS
colloidal minerals supplements,REMAP,BASIC VITAMINS & MINERALS,MINERALS,Maps to BASIC VITAMINS & MINERALS / MINERALS
combined vitamin mineral supplements,REMAP,COMBINED MULTIVITAMINS,NON-SPECIFIC,Maps to COMBINED MULTIVITAMINS / NON-SPECIFIC
combined vitamin-mineral supplements,REMAP,COMBINED MULTIVITAMINS,NON-SPECIFIC,Maps to COMBINED MULTIVITAMINS / NON-SPECIFIC
cooking wine,REMOVE,,,Non-supplement category
coral calcium supplements,REMAP,BASIC VITAMINS & MINERALS,MINERALS,Maps to BASIC VITAMINS & MINERALS / MINERALS
coriander spice,REMOVE,,,Non-supplement category
cottage cheese,REMOVE,,,Non-supplement category
cough drops,REMAP,HERBAL/HOMEOPATHIC COLD & FLU,NON-SPECIFIC,Maps to HERBAL/HOMEOPATHIC COLD & FLU / NON-SPECIFIC
cough drops & lozenges,REMAP,HERBAL/HOMEOPATHIC COLD & FLU,NON-SPECIFIC,Maps to HERBAL/HOMEOPATHIC COLD & FLU / NON-SPECIFIC
cough syrups,REMAP,HERBAL/HOMEOPATHIC COLD & FLU,NON-SPECIFIC,Maps to HERBAL/HOMEOPATHIC COLD & FLU / NON-SPECIFIC
cough syrups & liquids,REMAP,HERBAL/HOMEOPATHIC COLD & FLU,NON-SPECIFIC,Maps to HERBAL/HOMEOPATHIC COLD & FLU / NON-SPECIFIC
cpap products & accessories,REMOVE,,,Non-supplement category
cranberry herbal supplements,REMAP,HERBAL REMEDIES,FOOD SUPPLEMENTS,Maps to HERBAL REMEDIES / FOOD SUPPLEMENTS
cream cheese,REMOVE,,,Non-supplement category
creatine amino acids,REMAP,AMINO ACIDS,AMINO ACIDS,Maps to AMINO ACIDS / AMINO ACIDS
cumin spice,REMOVE,,,Non-supplement category
curcumin herbal supplements,REMAP,HERBAL REMEDIES,NON-SPECIFIC,Maps to HERBAL REMEDIES / NON-SPECIFIC
decongestant sprays,REMAP,HERBAL/HOMEOPATHIC COLD & FLU,NON-SPECIFIC,Maps to HERBAL/HOMEOPATHIC COLD & FLU / NON-SPECIFIC
dhea,REMAP,BASIC VITAMINS & MINERALS,DHEA & PREGNENOLONE & HORMONES,Maps to BASIC VITAMINS & MINERALS / DHEA & PREGNENOLONE & HORMONES
dhea supplements,REMAP,BASIC VITAMINS & MINERALS,DHEA & PREGNENOLONE & HORMONES,Maps to BASIC VITAMINS & MINERALS / DHEA & PREGNENOLONE & HORMONES
diarrhea relief,REMAP,DIGESTIVE AIDS & ENZYMES,DIGESTIVE AIDS & ENZYMES,Maps to DIGESTIVE AIDS & ENZYMES / DIGESTIVE AIDS & ENZYMES
dietary fibers,REMAP,FIBER PRODUCTS & LAXATIVES,FIBER PRODUCTS & LAXATIVES,Maps to FIBER PRODUCTS & LAXATIVES / FIBER PRODUCTS & LAXATIVES
dill spice,REMOVE,,,Non-supplement category
dog dental care,REMOVE,,,Non-supplement category
dog digestive remedies,REMOVE,,,Non-supplement category
dog dna test,REMOVE,,,Non-supplement category
dog dna tests,REMOVE,,,Non-supplement category
dog flea & tick collars,REMOVE,,,Non-supplement category
dog flea & tick drops,REMOVE,,,Non-supplement category
dog hip & joint care,REMOVE,,,Non-supplement category
dog supplements & vitamins,REMOVE,,,Non-supplement category
drug & alcohol test kits,REMOVE,,,Non-supplement category
drug test kits & supplies,REMOVE,,,Non-supplement category
drug tests,REMOVE,,,Non-supplement category
dry shampoo,REMOVE,,,Non-supplement category
echinacea herbal supplements,REMAP,HERBAL/HOMEOPATHIC COLD & FLU,NON-SPECIFIC,Maps to HERBAL/HOMEOPATHIC COLD & FLU / NON-SPECIFIC
eczema psoriasis & rosacea care,REMOVE,,,Non-supplement category
eggs & egg substitutes,REMOVE,,,Non-supplement category
elderberry herbal supplements,REMAP,HERBAL/HOMEOPATHIC COLD & FLU,NON-SPECIFIC,Maps to HERBAL/HOMEOPATHIC COLD & FLU / NON-SPECIFIC
electrolyte drink mixes,REMAP,ACTIVE NUTRITION,HYDRATION,Maps to ACTIVE NUTRITION / HYDRATION
electrolyte drink mixes & supplements,REMAP,ACTIVE NUTRITION,HYDRATION,Maps to ACTIVE NUTRITION / HYDRATION
electronic sanitizers & accessories,REMOVE,,,Non-supplement category
emergency contraceptives,REMOVE,,,Non-supplement category
emergency food supplies,REMOVE,,,Non-supplement category
emergency survival kits,REMOVE,,,Non-supplement category
energy candy & mints,REMOVE,,,Non-supplement category
energy chews & gels,REMAP,PERFORMANCE NUTRITION,PERFORMANCE NUTRITION,Maps to PERFORMANCE NUTRITION / PERFORMANCE NUTRITION
energy drinks,REMOVE,,,Non-supplement category
energy herbals,REMAP,HERBAL REMEDIES,NON-SPECIFIC,Maps to HERBAL REMEDIES / NON-SPECIFIC
energy powders,REMAP,HERBAL REMEDIES,NON-SPECIFIC,Maps to HERBAL REMEDIES / NON-SPECIFIC
energy shots,REMAP,MISCELLANEOUS SUPPLEMENTS,MISCELLANEOUS SUPPLEMENTS,Maps to MISCELLANEOUS SUPPLEMENTS / MISCELLANEOUS SUPPLEMENTS
energy supplements,REMAP,HERBAL REMEDIES,NON-SPECIFIC,Maps to HERBAL REMEDIES / NON-SPECIFIC
enzyme supplements,REMAP,DIGESTIVE AIDS & ENZYMES,DIGESTIVE AIDS & ENZYMES,Maps to DIGESTIVE AIDS & ENZYMES / DIGESTIVE AIDS & ENZYMES
examination supplies & consumables,REMOVE,,,Non-supplement category
exercise balls,REMOVE,,,Non-supplement category
exercise bands,REMOVE,,,Non-supplement category
exercise gloves,REMOVE,,,Non-supplement category
exercise machine attachments,REMOVE,,,Non-supplement category
exercise mats,REMOVE,,,Non-supplement category
exercise videos,REMOVE,,,Non-supplement category
exercise wraps & straps,REMOVE,,,Non-supplement category
eye care treatments,REMOVE,,,Non-supplement category
eye creams,REMOVE,,,Non-supplement category
face & sheet masks,REMOVE,,,Non-supplement category
face care sets & kits,REMOVE,,,Non-supplement category
face cleanser cloths & towelettes,REMOVE,,,Non-supplement category
face cleansers,REMOVE,,,Non-supplement category
face cleansers & washes,REMOVE,,,Non-supplement category
face cleansing cloths & pads,REMOVE,,,Non-supplement category
face cleansing tools,REMOVE,,,Non-supplement category
face creams,REMOVE,,,Non-supplement category
face creams & moisturizers,REMOVE,,,Non-supplement category
face creams and moisturizers,REMOVE,,,Non-supplement category
face exfoliators & peels,REMOVE,,,Non-supplement category
face exfoliators polishes & scrubs,REMOVE,,,Non-supplement category
face masks,REMOVE,,,Non-supplement category
face mists & essences,REMOVE,,,Non-supplement category
face moisturizers,REMOVE,,,Non-supplement category
face oils,REMOVE,,,Non-supplement category
face rollers & sculptors,REMOVE,,,Non-supplement category
face serums,REMOVE,,,Non-supplement category
face toners,REMOVE,,,Non-supplement category
face toners & astringents,REMOVE,,,Non-supplement category
face treatments,REMOVE,,,Non-supplement category
face treatments & masks,REMOVE,,,Non-supplement category
face washes,REMOVE,,,Non-supplement category
facial & sheet masks,REMOVE,,,Non-supplement category
facial acne treatments  patches & strips,REMOVE,,,Non-supplement category
"facial acne treatments, patches & strips",REMOVE,,,Non-supplement category
facial care sets & kits,REMOVE,,,Non-supplement category
facial cleanser cloths  towelettes & pads,REMOVE,,,Non-supplement category
"facial cleanser cloths, towelettes & pads",REMOVE,,,Non-supplement category
facial creams  oils & moisturizers,REMOVE,,,Non-supplement category
"facial creams, oils & moisturizers",REMOVE,,,Non-supplement category
facial exfoliators  polishes & scrubs,REMOVE,,,Non-supplement category
"facial exfoliators, polishes & scrubs",REMOVE,,,Non-supplement category
facial rollers & sculptors,REMOVE,,,Non-supplement category
facial serums & acids,REMOVE,,,Non-supplement category
facial toners  astringents & sprays,REMOVE,,,Non-supplement category
"facial toners, astringents & sprays",REMOVE,,,Non-supplement category
facial treatments  serums & peels,REMOVE,,,Non-supplement category
"facial treatments, serums & peels",REMOVE,,,Non-supplement category
facial washes & cleansers,REMOVE,,,Non-supplement category
family planning tests,REMOVE,,,Non-supplement category
fat burners,REMAP,WEIGHT MANAGEMENT FORMULAS,WEIGHT MANAGEMENT FORMULAS,Maps to WEIGHT MANAGEMENT FORMULAS / WEIGHT MANAGEMENT FORMULAS
feminine care contraception,REMOVE,,,Non-supplement category
feminine care menopause products,REMAP,HERBAL REMEDIES,NON-SPECIFIC,Maps to HERBAL REMEDIES / NON-SPECIFIC
feminine care treatments,REMOVE,,,Non-supplement category
feminine care yeast infection treatments,REMOVE,,,Non-supplement category
feminine douches,REMOVE,,,Non-supplement category
feminine menopause products,REMAP,HERBAL REMEDIES,NON-SPECIFIC,Maps to HERBAL REMEDIES / NON-SPECIFIC
feminine pads,REMOVE,,,Non-supplement category
feminine washes,REMOVE,,,Non-supplement category
feminine wipes,REMOVE,,,Non-supplement category
fennel seed spice,REMOVE,,,Non-supplement category
fenugreek spice,REMAP,HERBAL REMEDIES,NON-SPECIFIC,Maps to HERBAL REMEDIES / NON-SPECIFIC
fertility & natal supplements,REMAP,COMBINED MULTIVITAMINS,PRENATAL,Maps to COMBINED MULTIVITAMINS / PRENATAL
first aid antibiotics ointments,REMOVE,,,Non-supplement category
first aid antifungals,REMOVE,,,Non-supplement category
first aid kits,REMOVE,,,Non-supplement category
first aid lice treatments,REMOVE,,,Non-supplement category
first aid tape,REMOVE,,,Non-supplement category
fish oil,REMAP,OIL CATEGORY,FISH OIL,Maps to OIL CATEGORY / FISH OIL
flavonoid supplements,REMAP,BASIC VITAMINS & MINERALS,LETTER VITAMINS,Maps to BASIC VITAMINS & MINERALS / LETTER VITAMINS
flavonoids,REMAP,BASIC VITAMINS & MINERALS,LETTER VITAMINS,Maps to BASIC VITAMINS & MINERALS / LETTER VITAMINS
flavor syrups,REMOVE,,,Non-supplement category
flavored syrups,REMOVE,,,Non-supplement category
flavored water,REMOVE,,,Non-supplement category
flax seed spice,REMOVE,,,Non-supplement category
flower essences & remedies,REMOVE,,,Non-supplement category
fluid administration & collection,REMOVE,,,Non-supplement category
freestanding slides,REMOVE,,,Non-supplement category
fruit juice,REMOVE,,,Non-supplement category
garlic herbal supplements,REMAP,HERBAL REMEDIES,NON-SPECIFIC,Maps to HERBAL REMEDIES / NON-SPECIFIC
garlic spice,REMOVE,,,Non-supplement category
gas relief,REMAP,DIGESTIVE AIDS & ENZYMES,DIGESTIVE AIDS & ENZYMES,Maps to DIGESTIVE AIDS & ENZYMES / DIGESTIVE AIDS & ENZYMES
gauze,REMOVE,,,Non-supplement category
ginger spice,REMAP,HERBAL REMEDIES,NON-SPECIFIC,Maps to HERBAL REMEDIES / NON-SPECIFIC
ginkgo biloba herbal supplements,REMAP,HERBAL REMEDIES,NON-SPECIFIC,Maps to HERBAL REMEDIES / NON-SPECIFIC
ginseng herbal supplements,REMAP,HERBAL REMEDIES,NON-SPECIFIC,Maps to HERBAL REMEDIES / NON-SPECIFIC
glandular extracts,REMAP,HERBAL REMEDIES,NON-SPECIFIC,Maps to HERBAL REMEDIES / NON-SPECIFIC
grape seed extract herbal supplements,REMAP,HERBAL REMEDIES,POLYPHENOLS,Maps to HERBAL REMEDIES / POLYPHENOLS
green tea herbal supplements,REMAP,HERBAL REMEDIES,POLYPHENOLS,Maps to HERBAL REMEDIES / POLYPHENOLS
gummy candy,REMOVE,,,Non-supplement category
hair coloring & highlighting tools,REMOVE,,,Non-supplement category
hair cutting tools,REMOVE,,,Non-supplement category
"hair gels, pomade & waxes",REMOVE,,,Non-supplement category
hair loss & regrowth products,REMOVE,,,Non-supplement category
hair masks,REMOVE,,,Non-supplement category
hair mousse & foams,REMOVE,,,Non-supplement category
hair oils & serums,REMOVE,,,Non-supplement category
hair skin & nails complex,REMAP,MISCELLANEOUS SUPPLEMENTS,MISCELLANEOUS SUPPLEMENTS,Maps to MISCELLANEOUS SUPPLEMENTS / MISCELLANEOUS SUPPLEMENTS
hair styling creams & sprays,REMOVE,,,Non-supplement category
hair styling foams,REMOVE,,,Non-supplement category
hair styling gels,REMOVE,,,Non-supplement category
hair styling products,REMOVE,,,Non-supplement category
hair styling sprays,REMOVE,,,Non-supplement category
"hair, skin & nails supplements",REMAP,BASIC VITAMINS & MINERALS,LETTER VITAMINS,Maps to BASIC VITAMINS & MINERALS / LETTER VITAMINS
hairspray,REMOVE,,,Non-supplement category
healing ointments & balms,REMOVE,,,Non-supplement category
health & wellness test kits,REMOVE,,,Non-supplement category
heat patches & wraps,REMOVE,,,Non-supplement category
heating pads,REMOVE,,,Non-supplement category
hemorrhoid pain relief products,REMOVE,,,Non-supplement category
hemp gummies,REMAP,OIL CATEGORY,HEMP/CBD,Maps to OIL CATEGORY / HEMP/CBD
hemp oils & creams,REMOVE,,,Non-supplement category
